Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Latitude,Longitude,Average Annual Temperature
Togo,Sub-Saharan Africa,4.11,0.08,4.26,3.96,7.36,5.699999999999999,54.91,6.2,5.300000000000001,7.7,2.43,0.25,0.24,0.2,0.29,0.21,0.11,2.81,8.7800265,1.0199765,27
Zambia,Sub-Saharan Africa,4.07,0.07,4.21,3.94,8.14,7.1,55.81,7.800000000000001,5.6000000000000005,8.2,2.43,0.53,0.55,0.23,0.49,0.23,0.07,1.98,-14.5189121,27.5589884,21
Sierra Leone,Sub-Saharan Africa,3.85,0.08,4.0,3.7,7.43,6.3,51.65,7.199999999999999,5.8,8.7,2.43,0.28,0.38,0.1,0.41,0.24,0.05,2.4,8.6400349,-11.8400269,26
India,South Asia,3.8200000000000003,0.03,3.87,3.77,8.76,6.0,60.63,8.9,5.8999999999999995,7.7,2.43,0.74,0.32,0.38,0.62,0.25,0.11,1.4,22.3511148,78.6677428,24
Burundi,Sub-Saharan Africa,3.7800000000000002,0.11,3.98,3.56,6.64,4.9,53.4,6.3,4.8,6.1,2.43,0.0,0.06,0.16,0.3,0.17,0.21,2.88,-3.426449,29.9324519,20
Yemen,Middle East and North Africa,3.66,0.07,3.79,3.52,7.58,8.299999999999999,57.12,6.0,3.5,8.0,2.43,0.33,0.83,0.27,0.27,0.09,0.09,1.78,16.3471243,47.8915271,23
United Republic of Tanzania,Sub-Saharan Africa,3.62,0.07,3.76,3.48,7.88,7.0,58.0,8.299999999999999,6.799999999999999,5.8,2.43,0.43,0.54,0.3,0.55,0.31,0.23,1.26,-6.5247123,35.7878438,25
Haiti,Latin America and Caribbean,3.62,0.17,3.95,3.28,7.48,5.4,55.7,5.8999999999999995,9.2,7.199999999999999,2.43,0.29,0.17,0.23,0.26,0.46,0.14,2.06,19.1399952,-72.3570972,25
Malawi,Sub-Saharan Africa,3.5999999999999996,0.09,3.78,3.42,6.96,5.4,57.95,7.800000000000001,5.4,7.3,2.43,0.11,0.17,0.3,0.48,0.21,0.13,2.19,-13.2687204,33.9301963,22
Lesotho,Sub-Saharan Africa,3.51,0.12,3.75,3.28,7.93,7.9,48.7,7.199999999999999,3.7,9.200000000000001,2.43,0.45,0.73,0.01,0.4,0.1,0.02,1.8,-29.6039267,28.3350193,12
Botswana,Sub-Saharan Africa,3.47,0.07,3.61,3.32,9.78,7.800000000000001,59.27,8.2,2.5,8.0,2.43,1.1,0.72,0.34,0.54,0.03,0.09,0.65,-23.1681782,24.5928742,22
Rwanda,Sub-Saharan Africa,3.42,0.07,3.55,3.28,7.68,5.5,61.4,9.0,5.6000000000000005,1.7000000000000002,2.43,0.36,0.2,0.41,0.63,0.23,0.49,1.1,-1.9646631,30.0644358,18
Zimbabwe,Sub-Saharan Africa,3.14,0.06,3.26,3.03,7.94,7.5,56.2,6.800000000000001,4.5,8.2,2.43,0.46,0.65,0.24,0.36,0.16,0.08,1.2,-18.4554963,29.7468414,21
Afghanistan,South Asia,2.52,0.04,2.6,2.45,7.7,4.6000000000000005,52.49,3.8,4.0,9.200000000000001,2.43,0.37,0.0,0.13,0.0,0.12,0.01,1.9,33.7680065,66.2385139,13
